Date,Error Rate (%)
2025-03-12,14.0
2025-03-13,17.9
2025-03-14,12.8
2025-03-15,9.6
2025-03-16,13.9
2025-03-17,12.9
2025-03-18,17.3
2025-03-19,9.9
2025-03-20,12.8
2025-03-21,13.7
2025-03-22,13.3
2025-03-23,14.5
2025-03-24,13.9
2025-03-25,13.8
2025-03-26,12.4
2025-03-27,15.4
2025-03-28,14.4
2025-03-29,17.2
2025-03-30,11.7
2025-03-31,7.7
2025-04-01,10.7
2025-04-02,15.0
2025-04-03,10.8
2025-04-04,15.1
2025-04-05,18.3
2025-04-06,15.6
2025-04-07,10.5
2025-04-08,16.2
2025-04-09,12.0
2025-04-10,10.6
2025-04-11,15.3
2025-04-12,12.2
2025-04-13,11.7
2025-04-14,17.0
2025-04-15,16.5
2025-04-16,8.6
2025-04-17,15.6
2025-04-18,16.1
2025-04-19,17.5
2025-04-20,16.6
2025-04-21,14.7
2025-04-22,19.1
2025-04-23,14.8
2025-04-24,11.3
2025-04-25,10.6
