Date,Reaction Time (ms)
2025-03-12,510
2025-03-13,580
2025-03-14,493
2025-03-15,459
2025-03-16,531
2025-03-17,494
2025-03-18,555
2025-03-19,457
2025-03-20,511
2025-03-21,529
2025-03-22,499
2025-03-23,493
2025-03-24,513
2025-03-25,508
2025-03-26,502
2025-03-27,547
2025-03-28,530
2025-03-29,571
2025-03-30,466
2025-03-31,433
2025-04-01,505
2025-04-02,559
2025-04-03,489
2025-04-04,547
2025-04-05,582
2025-04-06,574
2025-04-07,463
2025-04-08,546
2025-04-09,477
2025-04-10,440
2025-04-11,499
2025-04-12,483
2025-04-13,479
2025-04-14,551
2025-04-15,567
2025-04-16,457
2025-04-17,570
2025-04-18,581
2025-04-19,549
2025-04-20,564
2025-04-21,516
2025-04-22,563
2025-04-23,556
2025-04-24,456
2025-04-25,488 ​
